dt,Error
1.000000,12489.722631
0.909091,11430.746472
0.833333,10470.510003
0.769231,9604.126402
0.714286,8824.540636
0.666667,8123.860945
0.625000,7494.136772
0.588235,6927.786071
0.555556,6417.807203
0.526316,5957.862392
0.500000,5542.287385
0.476190,5166.060951
0.454545,4824.754557
0.434783,4514.474194
0.416667,4231.801212
0.400000,3973.735875
0.384615,3737.645440
0.370370,3521.217500
0.357143,3322.418658
0.344828,3139.458300
0.333333,2970.757015
0.322581,2814.919206
0.312500,2670.709385
0.303030,2537.031689
0.294118,2412.912182
0.285714,2297.483571
0.277778,2189.972003
0.270270,2089.685633
0.263158,1996.004729
0.256410,1908.373094
0.250000,1826.290604
0.243902,1749.306728
0.238095,1677.014876
0.232558,1609.047462
0.227273,1545.071587
0.222222,1484.785264
0.217391,1427.914091
0.212766,1374.208334
0.208333,1323.440359
0.204082,1275.402358
0.200000,1229.904342
0.196078,1186.772365
0.192308,1145.846945
0.188679,1106.981666
0.185185,1070.041924
0.181818,1034.903818
0.178571,1001.453158
0.175439,969.584569
0.172414,939.200701
0.169492,910.211511
0.166667,882.533621
0.163934,856.089741
0.161290,830.808146
0.158730,806.622207
0.156250,783.469967
0.153846,761.293754
0.151515,740.039837
0.149254,719.658104
0.147059,700.101780
0.144928,681.327163
0.142857,663.293389
0.140845,645.962212
0.138889,629.297809
0.136986,613.266598
0.135135,597.837073
0.133333,582.979654
0.131579,568.666545
0.129870,554.871612
0.128205,541.570259
0.126582,528.739330
0.125000,516.357001
0.123457,504.402695
0.121951,492.856995
0.120482,481.701569
0.119048,470.919097
0.117647,460.493205
0.116279,450.408403
0.114943,440.650032
0.113636,431.204208
0.112360,422.057774
0.111111,413.198256
0.109890,404.613821
0.108696,396.293237
0.107527,388.225837
0.106383,380.401487
0.105263,372.810553
0.104167,365.443872
0.103093,358.292725
0.102041,351.348810
0.101010,344.604221
0.100000,338.051424
