dt,Error
0.100000,0.004201
0.090909,0.003496
0.083333,0.002954
0.076923,0.002530
0.071429,0.002190
0.066667,0.001915
0.062500,0.001688
0.058824,0.001500
0.055556,0.001341
0.052632,0.001206
0.050000,0.001091
0.047619,0.000991
0.045455,0.000905
0.043478,0.000829
0.041667,0.000762
0.040000,0.000703
0.038462,0.000651
0.037037,0.000604
0.035714,0.000563
0.034483,0.000525
0.033333,0.000491
0.032258,0.000460
0.031250,0.000432
0.030303,0.000407
0.029412,0.000383
0.028571,0.000362
0.027778,0.000342
0.027027,0.000324
0.026316,0.000308
0.025641,0.000292
0.025000,0.000278
0.024390,0.000265
0.023810,0.000252
0.023256,0.000241
0.022727,0.000230
0.022222,0.000220
0.021739,0.000211
0.021277,0.000202
0.020833,0.000194
0.020408,0.000186
0.020000,0.000179
0.019608,0.000172
0.019231,0.000165
0.018868,0.000159
0.018519,0.000153
0.018182,0.000148
0.017857,0.000143
0.017544,0.000138
0.017241,0.000133
0.016949,0.000129
0.016667,0.000124
0.016393,0.000120
0.016129,0.000116
0.015873,0.000113
0.015625,0.000109
0.015385,0.000106
0.015152,0.000103
0.014925,0.000100
0.014706,0.000097
0.014493,0.000094
0.014286,0.000091
0.014085,0.000089
0.013889,0.000086
0.013699,0.000084
0.013514,0.000082
0.013333,0.000080
0.013158,0.000078
0.012987,0.000076
0.012821,0.000074
0.012658,0.000072
0.012500,0.000070
0.012346,0.000068
0.012195,0.000067
0.012048,0.000065
0.011905,0.000064
0.011765,0.000062
0.011628,0.000061
0.011494,0.000059
0.011364,0.000058
0.011236,0.000057
0.011111,0.000055
0.010989,0.000054
0.010870,0.000053
0.010753,0.000052
0.010638,0.000051
0.010526,0.000050
0.010417,0.000049
0.010309,0.000048
0.010204,0.000047
0.010101,0.000046
0.010000,0.000045
