dt,Error
1.000000e-01,20.022434
5.000000e-02,6.285839
3.333333e-02,3.003626
2.500000e-02,1.749909
2.000000e-02,1.143290
1.666667e-02,0.804788
1.428571e-02,0.596965
1.250000e-02,0.460320
1.111111e-02,0.365718
1.000000e-02,0.297532
