dt,beta,g,tau,trial,initMacro,initCoral,initTurf,macroalgae,coral,turf,lgMacro,lgCoral,lgTurf
0.000100,0.100000,0.300000,0.500000,196,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,197,0.282636,0.249101,0.468264,0.000034,0.559760,0.440206,0.585356,0.000605,0.414039
0.000100,0.100000,0.300000,0.500000,198,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,199,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,200,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,201,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,202,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.031916,0.490333,0.477752
0.000100,0.100000,0.300000,0.500000,203,0.282636,0.249101,0.468264,0.681036,0.000153,0.318811,0.648214,0.000097,0.351689
0.000100,0.100000,0.300000,0.500000,204,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,205,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,206,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,207,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,208,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,209,0.282636,0.249101,0.468264,0.586909,0.000002,0.413089,0.613544,0.000006,0.386450
0.000100,0.100000,0.300000,0.500000,210,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.601459,0.003449,0.395092
0.000100,0.100000,0.300000,0.500000,211,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,212,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,213,0.282636,0.249101,0.468264,0.678123,0.000002,0.321875,0.647140,0.000004,0.352855
0.000100,0.100000,0.300000,0.500000,214,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,215,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.497900,0.090083,0.412017
0.000100,0.100000,0.300000,0.500000,216,0.282636,0.249101,0.468264,0.559022,0.000023,0.440955,0.602678,0.000027,0.397295
0.000100,0.100000,0.300000,0.500000,217,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,218,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,219,0.282636,0.249101,0.468264,0.601591,0.000481,0.397928,0.619733,0.000163,0.380104
