dt,Error
1.000000e-01,0.000131
5.000000e-02,0.000032
3.333333e-02,0.000014
2.500000e-02,0.000008
2.000000e-02,0.000005
1.666667e-02,0.000004
1.428571e-02,0.000003
1.250000e-02,0.000002
1.111111e-02,0.000002
1.000000e-02,0.000001
9.090909e-03,0.000001
8.333333e-03,0.000001
7.692308e-03,0.000001
7.142857e-03,0.000001
6.666667e-03,0.000001
6.250000e-03,0.000000
5.882353e-03,0.000000
5.555556e-03,0.000000
5.263158e-03,0.000000
5.000000e-03,0.000000
4.761905e-03,0.000000
4.545455e-03,0.000000
4.347826e-03,0.000000
4.166667e-03,0.000000
4.000000e-03,0.000000
3.846154e-03,0.000000
3.703704e-03,0.000000
3.571429e-03,0.000000
3.448276e-03,0.000000
3.333333e-03,0.000000
3.225806e-03,0.000000
3.125000e-03,0.000000
3.030303e-03,0.000000
2.941176e-03,0.000000
2.857143e-03,0.000000
2.777778e-03,0.000000
2.702703e-03,0.000000
2.631579e-03,0.000000
2.564103e-03,0.000000
2.500000e-03,0.000000
2.439024e-03,0.000000
2.380952e-03,0.000000
2.325581e-03,0.000000
2.272727e-03,0.000000
2.222222e-03,0.000000
2.173913e-03,0.000000
2.127660e-03,0.000000
2.083333e-03,0.000000
2.040816e-03,0.000000
2.000000e-03,0.000000
1.960784e-03,0.000000
1.923077e-03,0.000000
1.886792e-03,0.000000
1.851852e-03,0.000000
1.818182e-03,0.000000
1.785714e-03,0.000000
1.754386e-03,0.000000
1.724138e-03,0.000000
1.694915e-03,0.000000
1.666667e-03,0.000000
1.639344e-03,0.000000
1.612903e-03,0.000000
1.587302e-03,0.000000
1.562500e-03,0.000000
1.538462e-03,0.000000
1.515152e-03,0.000000
1.492537e-03,0.000000
1.470588e-03,0.000000
1.449275e-03,0.000000
1.428571e-03,0.000000
1.408451e-03,0.000000
1.388889e-03,0.000000
1.369863e-03,0.000000
1.351351e-03,0.000000
1.333333e-03,0.000000
1.315789e-03,0.000000
1.298701e-03,0.000000
1.282051e-03,0.000000
1.265823e-03,0.000000
1.250000e-03,0.000000
1.234568e-03,0.000000
1.219512e-03,0.000000
1.204819e-03,0.000000
1.190476e-03,0.000000
1.176471e-03,0.000000
1.162791e-03,0.000000
1.149425e-03,0.000000
1.136364e-03,0.000000
1.123596e-03,0.000000
1.111111e-03,0.000000
1.098901e-03,0.000000
1.086957e-03,0.000000
1.075269e-03,0.000000
1.063830e-03,0.000000
1.052632e-03,0.000000
1.041667e-03,0.000000
1.030928e-03,0.000000
1.020408e-03,0.000000
1.010101e-03,0.000000
1.000000e-03,0.000000
