Approximation,r,steps
1,10,50
1.220000
1.488400
1.815848
2.215335
2.702708
3.297304
4.022711
4.907707
5.987403
7.304631
8.911650
10.872213
13.264100
16.182202
19.742287
24.085590
29.384420
35.848992
43.735771
53.357640
65.096321
79.417512
96.889364
118.205024
144.210130
175.936358
214.642357
261.863675
319.473684
389.757894
475.504631
580.115650
707.741093
863.444133
1053.401842
1285.150248
1567.883302
1912.817629
2333.637507
2847.037759
3473.386066
4237.531000
5169.787820
6307.141140
7694.712191
9387.548873
11452.809626
13972.427743
17046.361847
20796.561453
