dt,Error
1.000000e-01,0.002357
5.000000e-02,0.000437
3.333333e-02,0.000179
2.500000e-02,0.000097
2.000000e-02,0.000061
1.666667e-02,0.000042
1.428571e-02,0.000030
1.250000e-02,0.000023
1.111111e-02,0.000018
1.000000e-02,0.000015
