dt,beta,g,tau,trial,theta,initMacro,initCoral,initTurf,lgMacro,lgCoral
1e-05,0.4,0.2,0.6,3,0.19635,0.891365,3.64061e-05,0.108598,0.689075,3.24688e-07
1e-05,0.4,0.2,0.6,1,0.294524,0.891191,3.64061e-05,0.108773,0.710759,3.14877e-07
1e-05,0.4,0.2,0.6,2,0.294524,0.712336,3.28105e-07,0.287664,0.838982,2.41161e-10
1e-05,0.4,0.2,0.6,3,0.294524,0.712743,3.28105e-07,0.287256,0.842992,2.05534e-10
1e-05,0.4,0.2,0.6,1,0.392699,0.866664,2.21345e-10,0.133336,0.828666,2.42629e-15
1e-05,0.4,0.2,0.6,2,0.392699,0.86667,2.21345e-10,0.13333,0.707594,1.75651e-15
1e-05,0.4,0.2,0.6,1,0.490874,0.707428,1.83313e-15,0.292572,0.523802,3.81841e-16
1e-05,0.4,0.2,0.6,3,0.392699,0.707695,1.83313e-15,0.292305,0.654636,3.72917e-16
1e-05,0.4,0.2,0.6,3,0.490874,0.549473,3.80307e-16,0.450527,0.751531,5.08405e-19
1e-05,0.4,0.2,0.6,2,0.490874,0.54988,3.80307e-16,0.45012,0.777446,3.65161e-19
1e-05,0.4,0.2,0.6,1,0.589049,0.793193,3.87167e-19,0.206807,0.742301,1.07986e-22
1e-05,0.4,0.2,0.6,2,0.589049,0.793084,3.87167e-19,0.206916,0.744584,9.81789e-23
1e-05,0.4,0.2,0.6,1,0.687223,0.772587,1.03554e-22,0.227413,0.539281,2.46501e-25
1e-05,0.4,0.2,0.6,3,0.589049,0.772988,1.03554e-22,0.227012,0.603131,2.35411e-25
1e-05,0.4,0.2,0.6,2,0.687223,0.595469,2.39512e-25,0.404531,0.673075,7.88712e-27
1e-05,0.4,0.2,0.6,3,0.687223,0.595589,2.39512e-25,0.404411,0.838998,4.91122e-27
1e-05,0.4,0.2,0.6,2,0.785398,0.804041,5.24462e-27,0.195959,0.76189,1.54531e-31
1e-05,0.4,0.2,0.6,1,0.785398,0.803873,5.24462e-27,0.196127,0.831936,1.27757e-31
1e-05,0.4,0.2,0.6,1,0.883573,0.81635,1.37217e-31,0.18365,0.845571,1.63012e-05
1e-05,0.4,0.2,0.6,3,0.785398,0.816369,1.37217e-31,0.183631,0.70966,7.67448e-06
1e-05,0.4,0.2,0.6,3,0.883573,0.729425,8.0347e-06,0.270567,0.730364,3.68604e-10
1e-05,0.4,0.2,0.6,2,0.883573,0.729989,8.0347e-06,0.270003,0.769174,2.7288e-10
1e-05,0.4,0.2,0.6,2,0.981748,0.780901,2.87907e-10,0.219099,0.779228,1.29087e-15
1e-05,0.4,0.2,0.6,1,0.981748,0.781248,2.87907e-10,0.218752,0.702308,7.15628e-16
1e-05,0.4,0.2,0.6,3,0.981748,0.700114,7.46132e-16,0.299886,0.704586,4.66033e-06
1e-05,0.4,0.2,0.6,1,1.07992,0.700393,7.46132e-16,0.299607,0.7951,3.81659e-06
1e-05,0.4,0.2,0.6,2,1.07992,0.761493,4.05282e-06,0.238503,0.612534,0.000353281
1e-05,0.4,0.2,0.6,3,1.07992,0.761679,4.05282e-06,0.238317,0.661739,0.00031341
1e-05,0.4,0.2,0.6,2,1.1781,0.660394,0.000324216,0.339282,0.749691,5.44634e-08
1e-05,0.4,0.2,0.6,1,1.1781,0.660162,0.000324216,0.339514,0.677497,4.31473e-08
1e-05,0.4,0.2,0.6,3,1.1781,0.723761,4.51792e-08,0.276239,0.648922,1.12644e-06
1e-05,0.4,0.2,0.6,1,1.27627,0.723363,4.51792e-08,0.276637,0.75696,6.45977e-07
1e-05,0.4,0.2,0.6,3,1.27627,0.770502,6.82789e-07,0.229498,0.886812,5.71923e-06
1e-05,0.4,0.2,0.6,2,1.27627,0.770557,6.82789e-07,0.229442,0.807436,4.97666e-06
1e-05,0.4,0.2,0.6,2,1.37445,0.881906,5.35023e-06,0.118089,0.873708,7.77705e-11
1e-05,0.4,0.2,0.6,1,1.37445,0.882058,5.35023e-06,0.117937,0.781819,5.62101e-11
1e-05,0.4,0.2,0.6,3,1.37445,0.791305,5.97894e-11,0.208695,0.729203,2.00891e-14
1e-05,0.4,0.2,0.6,1,1.47262,0.791707,5.97894e-11,0.208293,0.783939,1.30067e-14
1e-05,0.4,0.2,0.6,2,1.47262,0.792217,1.38294e-14,0.207783,0.47816,1.75868e-05
1e-05,0.4,0.2,0.6,3,1.47262,0.792356,1.38294e-14,0.207644,0.394124,1.97193e-05
1e-05,0.6,0.2,0.6,1,0.0981748,0.345834,1.91159e-05,0.654147,0.383606,4.86952e-09
1e-05,0.6,0.2,0.6,2,0.0981748,0.346401,1.91159e-05,0.65358,0.414783,4.94461e-09
1e-05,0.6,0.2,0.6,3,0.0981748,0.356159,4.79925e-09,0.643841,2.45347e-06,0.559996
1e-05,0.6,0.2,0.6,1,0.19635,0.355349,4.79925e-09,0.644651,3.90019e-06,0.559997
1e-05,0.6,0.2,0.6,2,0.19635,3.02377e-06,0.559997,0.44,4.77422e-10,0.56
1e-05,0.6,0.2,0.6,3,0.19635,2.90937e-06,0.559997,0.44,4.34605e-10,0.56
1e-05,0.6,0.2,0.6,1,0.294524,4.27329e-10,0.56,0.44,3.37118e-23,0.56
1e-05,0.6,0.2,0.6,2,0.294524,0,0.56,0.44,3.32063e-23,0.56
1e-05,0.6,0.2,0.6,3,0.294524,2.38518e-23,0.56,0.44,3.09561e-15,0.56
1e-05,0.6,0.2,0.6,1,0.392699,0,0.56,0.44,2.19864e-15,0.56
1e-05,0.6,0.2,0.6,2,0.392699,3.38409e-15,0.56,0.44,8.24314e-12,0.56
1e-05,0.6,0.2,0.6,3,0.392699,0,0.56,0.44,1.04846e-11,0.56
1e-05,0.6,0.2,0.6,2,0.490874,0,0.56,0.44,8.84675e-11,0.56
1e-05,0.6,0.2,0.6,1,0.490874,1.13293e-11,0.56,0.44,1.28989e-10,0.56
1e-05,0.6,0.2,0.6,1,0.589049,0,0.56,0.44,4.94085e-19,0.56
1e-05,0.6,0.2,0.6,3,0.490874,1.31769e-10,0.56,0.44,6.49079e-19,0.56
