dt,alpha,beta,xTrue,xEuler,xMilstein,ErrorEuler,ErrorMilstein
0.007800,-2.000000,0.250000,0.171026,0.168126,0.168881,0.002900,0.002145
0.007900,-2.000000,0.250000,0.132722,0.130613,0.130509,0.002110,0.002213
0.008000,-2.000000,0.250000,0.079479,0.076982,0.077473,0.002497,0.002005
0.008100,-2.000000,0.250000,0.137616,0.135016,0.135336,0.002600,0.002280
0.008200,-2.000000,0.250000,0.082615,0.080662,0.080537,0.001953,0.002078
0.008300,-2.000000,0.250000,0.158703,0.155861,0.156389,0.002841,0.002314
0.008400,-2.000000,0.250000,0.052477,0.050253,0.050733,0.002225,0.001744
0.008500,-2.000000,0.250000,0.130931,0.129140,0.128551,0.001791,0.002380
0.008600,-2.000000,0.250000,0.138789,0.135673,0.136370,0.003116,0.002419
0.008700,-2.000000,0.250000,0.110107,0.108524,0.107728,0.001583,0.002379
0.008800,-2.000000,0.250000,0.160431,0.158408,0.157987,0.002023,0.002444
0.008900,-2.000000,0.250000,0.098648,0.096234,0.096270,0.002415,0.002378
0.009000,-2.000000,0.250000,0.094788,0.092810,0.092427,0.001977,0.002361
0.009100,-2.000000,0.250000,0.141181,0.137968,0.138606,0.003214,0.002575
0.009200,-2.000000,0.250000,0.147904,0.144936,0.145316,0.002967,0.002587
0.009300,-2.000000,0.250000,0.093763,0.091444,0.091314,0.002319,0.002449
0.009400,-2.000000,0.250000,0.176463,0.173458,0.173915,0.003004,0.002548
0.009500,-2.000000,0.250000,0.125985,0.123323,0.123341,0.002662,0.002643
0.009600,-2.000000,0.250000,0.116494,0.113926,0.113839,0.002568,0.002655
0.009700,-2.000000,0.250000,0.106288,0.103247,0.103657,0.003041,0.002631
0.009800,-2.000000,0.250000,0.121020,0.117889,0.118284,0.003130,0.002735
0.009900,-2.000000,0.250000,0.166023,0.164159,0.163310,0.001864,0.002713
0.010000,-2.000000,0.250000,0.113310,0.110683,0.110566,0.002627,0.002744
0.000100,-2.000000,0.500000,0.126231,0.126707,0.126201,0.000476,0.000030
0.000200,-2.000000,0.500000,0.147090,0.146444,0.147028,0.000646,0.000062
0.000300,-2.000000,0.500000,0.141623,0.141623,0.141532,0.000001,0.000091
0.000400,-2.000000,0.500000,0.139193,0.139330,0.139071,0.000137,0.000122
0.000500,-2.000000,0.500000,0.118243,0.118138,0.118095,0.000105,0.000148
0.000600,-2.000000,0.500000,0.112759,0.112483,0.112578,0.000276,0.000180
0.000700,-2.000000,0.500000,0.129698,0.129214,0.129486,0.000484,0.000211
0.000800,-2.000000,0.500000,0.054341,0.053922,0.054164,0.000419,0.000176
0.000900,-2.000000,0.500000,0.250365,0.250770,0.250128,0.000405,0.000237
0.001000,-2.000000,0.500000,0.136247,0.134836,0.135938,0.001410,0.000309
0.001100,-2.000000,0.500000,0.047283,0.046733,0.047053,0.000550,0.000231
0.001200,-2.000000,0.500000,0.246605,0.246900,0.246305,0.000294,0.000300
0.001300,-2.000000,0.500000,0.217342,0.215001,0.216962,0.002340,0.000380
0.001400,-2.000000,0.500000,0.067951,0.067906,0.067597,0.000045,0.000354
0.001500,-2.000000,0.500000,0.303873,0.304898,0.303569,0.001026,0.000304
0.001600,-2.000000,0.500000,0.098946,0.097182,0.098489,0.001763,0.000457
0.001700,-2.000000,0.500000,0.103880,0.103483,0.103389,0.000397,0.000491
0.001800,-2.000000,0.500000,0.089935,0.089552,0.089442,0.000383,0.000493
0.001900,-2.000000,0.500000,0.102426,0.101043,0.101870,0.001383,0.000556
0.002000,-2.000000,0.500000,0.091292,0.091332,0.090734,0.000041,0.000558
0.002100,-2.000000,0.500000,0.135611,0.135468,0.134939,0.000143,0.000672
0.002200,-2.000000,0.500000,0.137297,0.138593,0.136617,0.001296,0.000680
0.002300,-2.000000,0.500000,0.215876,0.215737,0.215259,0.000140,0.000617
0.002400,-2.000000,0.500000,0.102320,0.101607,0.101623,0.000713,0.000697
0.002500,-2.000000,0.500000,0.105122,0.102646,0.104366,0.002477,0.000756
0.002600,-2.000000,0.500000,0.076439,0.075287,0.075760,0.001152,0.000679
0.002700,-2.000000,0.500000,0.080140,0.078802,0.079420,0.001338,0.000720
0.002800,-2.000000,0.500000,0.126452,0.124450,0.125608,0.002002,0.000844
0.002900,-2.000000,0.500000,0.084689,0.083465,0.083904,0.001224,0.000785
0.003000,-2.000000,0.500000,0.125121,0.126055,0.124200,0.000934,0.000921
0.003100,-2.000000,0.500000,0.245235,0.248074,0.244450,0.002839,0.000785
0.003200,-2.000000,0.500000,0.069691,0.068790,0.068883,0.000901,0.000808
0.003300,-2.000000,0.500000,0.380049,0.378464,0.379728,0.001585,0.000321
0.003400,-2.000000,0.500000,0.256219,0.250873,0.255190,0.005346,0.001028
0.003500,-2.000000,0.500000,0.067295,0.066283,0.066422,0.001012,0.000874
0.003600,-2.000000,0.500000,0.091274,0.090674,0.090264,0.000600,0.001010
0.003700,-2.000000,0.500000,0.055836,0.055154,0.055005,0.000683,0.000831
0.003800,-2.000000,0.500000,0.085174,0.085541,0.084158,0.000367,0.001016
0.003900,-2.000000,0.500000,0.100817,0.100005,0.099716,0.000812,0.001102
0.004000,-2.000000,0.500000,0.077983,0.077639,0.076930,0.000344,0.001053
0.004100,-2.000000,0.500000,0.159982,0.158547,0.158728,0.001435,0.001254
0.004200,-2.000000,0.500000,0.134852,0.131838,0.133619,0.003014,0.001233
0.004300,-2.000000,0.500000,0.054783,0.054266,0.053824,0.000517,0.000959
0.004400,-2.000000,0.500000,0.207968,0.209926,0.206622,0.001958,0.001346
0.004500,-2.000000,0.500000,0.086757,0.086545,0.085526,0.000212,0.001231
0.004600,-2.000000,0.500000,0.085323,0.084270,0.084059,0.001053,0.001264
0.004700,-2.000000,0.500000,0.055129,0.054187,0.054066,0.000942,0.001063
0.004800,-2.000000,0.500000,0.294574,0.288900,0.293439,0.005674,0.001135
0.004900,-2.000000,0.500000,0.220360,0.222799,0.219038,0.002439,0.001322
0.005000,-2.000000,0.500000,0.134993,0.134956,0.133520,0.000037,0.001472
0.005100,-2.000000,0.500000,0.119816,0.119267,0.118299,0.000549,0.001516
0.005200,-2.000000,0.500000,0.062797,0.062350,0.061565,0.000448,0.001233
0.005300,-2.000000,0.500000,0.126465,0.122773,0.124840,0.003692,0.001626
0.005400,-2.000000,0.500000,0.200494,0.204524,0.198913,0.004030,0.001580
0.005500,-2.000000,0.500000,0.055966,0.054357,0.054736,0.001609,0.001230
0.005600,-2.000000,0.500000,0.055846,0.054197,0.054562,0.001649,0.001284
0.005700,-2.000000,0.500000,0.048021,0.045940,0.046814,0.002081,0.001207
0.005800,-2.000000,0.500000,0.327879,0.323038,0.326908,0.004841,0.000971
0.005900,-2.000000,0.500000,0.042994,0.042011,0.041836,0.000983,0.001157
0.006000,-2.000000,0.500000,0.226371,0.219508,0.224627,0.006864,0.001745
0.006100,-2.000000,0.500000,0.150541,0.148372,0.148592,0.002168,0.001949
0.006200,-2.000000,0.500000,0.123414,0.119360,0.121636,0.004055,0.001778
0.006300,-2.000000,0.500000,0.178668,0.175174,0.176666,0.003493,0.002002
0.006400,-2.000000,0.500000,0.148891,0.149226,0.146963,0.000335,0.001927
0.006500,-2.000000,0.500000,0.078815,0.077116,0.077095,0.001699,0.001720
0.006600,-2.000000,0.500000,0.155312,0.155837,0.153242,0.000525,0.002070
0.006700,-2.000000,0.500000,0.111432,0.110803,0.109442,0.000629,0.001990
0.006800,-2.000000,0.500000,0.253305,0.254514,0.251620,0.001209,0.001685
0.006900,-2.000000,0.500000,0.210814,0.211991,0.208817,0.001177,0.001997
0.007000,-2.000000,0.500000,0.068710,0.068014,0.066956,0.000696,0.001754
0.007100,-2.000000,0.500000,0.307927,0.305478,0.306529,0.002449,0.001398
0.007200,-2.000000,0.500000,0.051615,0.051708,0.050070,0.000094,0.001545
0.007300,-2.000000,0.500000,0.142032,0.141844,0.139848,0.000187,0.002184
0.007400,-2.000000,0.500000,0.128000,0.126448,0.125886,0.001552,0.002114
0.007500,-2.000000,0.500000,0.104484,0.102967,0.102319,0.001517,0.002166
0.007600,-2.000000,0.500000,0.115033,0.113568,0.112812,0.001466,0.002221
0.007700,-2.000000,0.500000,0.118873,0.113922,0.116583,0.004951,0.002290
0.007800,-2.000000,0.500000,0.080147,0.078767,0.078066,0.001380,0.002081
0.007900,-2.000000,0.500000,0.195705,0.193685,0.193378,0.002020,0.002327
0.008000,-2.000000,0.500000,0.119976,0.116979,0.117550,0.002997,0.002427
0.008100,-2.000000,0.500000,0.142418,0.142286,0.139983,0.000132,0.002434
0.008200,-2.000000,0.500000,0.122856,0.123210,0.120382,0.000354,0.002475
0.008300,-2.000000,0.500000,0.121945,0.116026,0.119400,0.005920,0.002545
0.008400,-2.000000,0.500000,0.236839,0.234479,0.234529,0.002361,0.002311
0.008500,-2.000000,0.500000,0.049166,0.046811,0.047405,0.002355,0.001761
0.008600,-2.000000,0.500000,0.158798,0.155500,0.156113,0.003298,0.002685
0.008700,-2.000000,0.500000,0.165970,0.163227,0.163367,0.002742,0.002603
0.008800,-2.000000,0.500000,0.131545,0.128148,0.128799,0.003396,0.002745
0.008900,-2.000000,0.500000,0.058266,0.056030,0.056232,0.002236,0.002034
0.009000,-2.000000,0.500000,0.232665,0.220175,0.230180,0.012490,0.002485
0.009100,-2.000000,0.500000,0.139597,0.136066,0.136814,0.003531,0.002782
0.009200,-2.000000,0.500000,0.197940,0.195475,0.195122,0.002465,0.002819
0.009300,-2.000000,0.500000,0.274652,0.275052,0.272686,0.000400,0.001967
0.009400,-2.000000,0.500000,0.132156,0.133615,0.129421,0.001459,0.002735
0.009500,-2.000000,0.500000,0.086461,0.084180,0.083861,0.002281,0.002599
0.009600,-2.000000,0.500000,0.147009,0.141043,0.144036,0.005966,0.002973
0.009700,-2.000000,0.500000,0.072037,0.070749,0.069601,0.001287,0.002436
0.009800,-2.000000,0.500000,0.209411,0.210014,0.206472,0.000604,0.002938
0.009900,-2.000000,0.500000,0.124162,0.119594,0.121172,0.004568,0.002990
0.010000,-2.000000,0.500000,0.187895,0.186002,0.184858,0.001893,0.003036
0.000100,-2.000000,0.750000,0.158777,0.159237,0.158740,0.000460,0.000037
0.000200,-2.000000,0.750000,0.183309,0.182960,0.183240,0.000349,0.000069
0.000300,-2.000000,0.750000,0.199084,0.198712,0.198970,0.000373,0.000114
0.000400,-2.000000,0.750000,0.077934,0.078148,0.077817,0.000214,0.000117
0.000500,-2.000000,0.750000,0.219076,0.219857,0.218926,0.000781,0.000150
0.000600,-2.000000,0.750000,0.149693,0.151470,0.149461,0.001777,0.000233
0.000700,-2.000000,0.750000,0.114212,0.113677,0.113999,0.000535,0.000213
0.000800,-2.000000,0.750000,0.043014,0.044043,0.042848,0.001029,0.000166
0.000900,-2.000000,0.750000,0.231547,0.231687,0.231208,0.000139,0.000340
0.001000,-2.000000,0.750000,0.193565,0.190722,0.193162,0.002843,0.000403
0.001100,-2.000000,0.750000,0.163170,0.162340,0.162755,0.000830,0.000415
0.001200,-2.000000,0.750000,0.007466,0.007422,0.007392,0.000044,0.000074
0.001300,-2.000000,0.750000,0.125745,0.127789,0.125268,0.002045,0.000476
0.001400,-2.000000,0.750000,0.050441,0.050511,0.050111,0.000070,0.000330
0.001500,-2.000000,0.750000,0.077804,0.078985,0.077362,0.001181,0.000442
0.001600,-2.000000,0.750000,0.183395,0.178633,0.182793,0.004762,0.000602
0.001700,-2.000000,0.750000,0.092495,0.090395,0.091945,0.002100,0.000550
0.001800,-2.000000,0.750000,0.256738,0.254377,0.256067,0.002360,0.000670
0.001900,-2.000000,0.750000,0.056880,0.055658,0.056426,0.001222,0.000453
0.002000,-2.000000,0.750000,0.052713,0.053421,0.052248,0.000708,0.000465
0.002100,-2.000000,0.750000,0.087927,0.083893,0.087245,0.004034,0.000681
0.002200,-2.000000,0.750000,0.062783,0.062110,0.062210,0.000673,0.000573
0.002300,-2.000000,0.750000,0.201559,0.198591,0.200678,0.002968,0.000881
0.002400,-2.000000,0.750000,0.139501,0.147721,0.138635,0.008220,0.000866
0.002500,-2.000000,0.750000,0.346127,0.346519,0.345585,0.000392,0.000542
0.002600,-2.000000,0.750000,0.406596,0.395253,0.405968,0.011343,0.000628
0.002700,-2.000000,0.750000,0.133073,0.138861,0.132123,0.005788,0.000950
0.002800,-2.000000,0.750000,0.105969,0.106298,0.105085,0.000330,0.000883
0.002900,-2.000000,0.750000,0.058331,0.056072,0.057571,0.002259,0.000760
0.003000,-2.000000,0.750000,0.037594,0.036842,0.037003,0.000752,0.000590
0.003100,-2.000000,0.750000,0.345076,0.340827,0.343977,0.004249,0.001099
0.003200,-2.000000,0.750000,0.045512,0.042738,0.044809,0.002774,0.000702
0.003300,-2.000000,0.750000,0.047580,0.045650,0.046892,0.001931,0.000689
0.003400,-2.000000,0.750000,0.250730,0.254465,0.249719,0.003735,0.001012
0.003500,-2.000000,0.750000,0.147804,0.150774,0.146474,0.002970,0.001330
0.003600,-2.000000,0.750000,0.120341,0.126369,0.119253,0.006029,0.001087
0.003700,-2.000000,0.750000,0.106835,0.109708,0.105750,0.002873,0.001085
0.003800,-2.000000,0.750000,0.157203,0.159603,0.155733,0.002400,0.001470
0.003900,-2.000000,0.750000,0.027012,0.025312,0.026387,0.001700,0.000625
0.004000,-2.000000,0.750000,0.020637,0.019694,0.020126,0.000944,0.000512
0.004100,-2.000000,0.750000,0.130086,0.124172,0.128711,0.005914,0.001374
0.004200,-2.000000,0.750000,0.088699,0.087725,0.087348,0.000974,0.001351
0.004300,-2.000000,0.750000,0.124017,0.118792,0.122492,0.005225,0.001525
0.004400,-2.000000,0.750000,0.091540,0.091503,0.090202,0.000038,0.001338
0.004500,-2.000000,0.750000,0.059571,0.056758,0.058470,0.002813,0.001101
0.004600,-2.000000,0.750000,0.058143,0.057735,0.056953,0.000408,0.001189
0.004700,-2.000000,0.750000,0.239599,0.232639,0.237832,0.006960,0.001767
0.004800,-2.000000,0.750000,0.027912,0.026719,0.027171,0.001193,0.000741
0.004900,-2.000000,0.750000,0.219759,0.214623,0.217997,0.005136,0.001762
0.005000,-2.000000,0.750000,0.204846,0.204064,0.202741,0.000782,0.002106
0.005100,-2.000000,0.750000,0.053025,0.052692,0.051848,0.000332,0.001176
0.005200,-2.000000,0.750000,0.067058,0.064366,0.065653,0.002692,0.001405
0.005300,-2.000000,0.750000,0.068241,0.065656,0.066872,0.002585,0.001369
0.005400,-2.000000,0.750000,0.022783,0.020666,0.022068,0.002117,0.000715
0.005500,-2.000000,0.750000,0.209401,0.206930,0.207188,0.002471,0.002212
0.005600,-2.000000,0.750000,0.052806,0.053414,0.051491,0.000608,0.001315
0.005700,-2.000000,0.750000,0.259065,0.241951,0.256782,0.017114,0.002283
0.005800,-2.000000,0.750000,0.057224,0.054455,0.055820,0.002768,0.001404
0.005900,-2.000000,0.750000,0.061037,0.058656,0.059481,0.002381,0.001556
0.006000,-2.000000,0.750000,0.081495,0.078858,0.079742,0.002638,0.001753
0.006100,-2.000000,0.750000,0.263920,0.261476,0.261938,0.002443,0.001982
0.006200,-2.000000,0.750000,0.149215,0.144473,0.147143,0.004742,0.002072
0.006300,-2.000000,0.750000,0.027855,0.026968,0.026816,0.000887,0.001039
0.006400,-2.000000,0.750000,0.156755,0.159593,0.154454,0.002838,0.002301
0.006500,-2.000000,0.750000,0.108089,0.108406,0.105758,0.000317,0.002332
0.006600,-2.000000,0.750000,0.072705,0.069663,0.070865,0.003043,0.001840
0.006700,-2.000000,0.750000,0.134421,0.139543,0.132101,0.005122,0.002320
0.006800,-2.000000,0.750000,0.187712,0.192171,0.185664,0.004459,0.002048
0.006900,-2.000000,0.750000,0.110789,0.110235,0.108777,0.000554,0.002012
0.007000,-2.000000,0.750000,0.182645,0.182190,0.180241,0.000455,0.002404
0.007100,-2.000000,0.750000,0.040257,0.035280,0.038831,0.004977,0.001426
0.007200,-2.000000,0.750000,0.053741,0.053292,0.052023,0.000449,0.001718
0.007300,-2.000000,0.750000,0.109437,0.104518,0.107101,0.004919,0.002336
0.007400,-2.000000,0.750000,0.078474,0.075627,0.076369,0.002848,0.002105
0.007500,-2.000000,0.750000,0.072965,0.067667,0.071178,0.005298,0.001787
0.007600,-2.000000,0.750000,0.300609,0.290171,0.298215,0.010438,0.002394
0.007700,-2.000000,0.750000,0.061141,0.064311,0.059167,0.003170,0.001975
0.007800,-2.000000,0.750000,0.094031,0.091212,0.091530,0.002819,0.002501
0.007900,-2.000000,0.750000,0.075910,0.077767,0.073712,0.001857,0.002198
0.008000,-2.000000,0.750000,0.044937,0.042827,0.043145,0.002110,0.001791
0.008100,-2.000000,0.750000,0.183269,0.179103,0.180293,0.004166,0.002975
0.008200,-2.000000,0.750000,0.056852,0.056726,0.054837,0.000127,0.002015
0.008300,-2.000000,0.750000,0.125337,0.120115,0.122620,0.005223,0.002717
0.008400,-2.000000,0.750000,0.029983,0.030120,0.028574,0.000137,0.001409
0.008500,-2.000000,0.750000,0.140124,0.130459,0.136884,0.009665,0.003239
0.008600,-2.000000,0.750000,0.179476,0.176802,0.175991,0.002674,0.003484
0.008700,-2.000000,0.750000,0.092088,0.090249,0.089228,0.001839,0.002860
0.008800,-2.000000,0.750000,0.297121,0.300521,0.294778,0.003400,0.002343
0.008900,-2.000000,0.750000,0.059068,0.057153,0.056724,0.001915,0.002344
0.009000,-2.000000,0.750000,0.084837,0.080375,0.082243,0.004462,0.002594
0.009100,-2.000000,0.750000,0.135611,0.132341,0.132629,0.003270,0.002982
0.009200,-2.000000,0.750000,0.044758,0.042979,0.042751,0.001780,0.002008
0.009300,-2.000000,0.750000,0.078388,0.075460,0.075519,0.002928,0.002869
0.009400,-2.000000,0.750000,0.127841,0.131298,0.125044,0.003457,0.002797
0.009500,-2.000000,0.750000,0.137347,0.131623,0.133844,0.005724,0.003503
0.009600,-2.000000,0.750000,0.062107,0.060960,0.059888,0.001147,0.002219
0.009700,-2.000000,0.750000,0.085956,0.078796,0.082644,0.007161,0.003312
0.009800,-2.000000,0.750000,0.253553,0.265589,0.250124,0.012036,0.003429
0.009900,-2.000000,0.750000,0.067635,0.061177,0.064992,0.006458,0.002644
0.010000,-2.000000,0.750000,0.542039,0.562446,0.543607,0.020406,0.001568
0.000100,-2.000000,1.000000,0.150901,0.149970,0.150851,0.000931,0.000049
0.000200,-2.000000,1.000000,0.063556,0.063738,0.063501,0.000183,0.000055
0.000300,-2.000000,1.000000,0.129149,0.128049,0.129043,0.001100,0.000106
0.000400,-2.000000,1.000000,0.675640,0.683097,0.675713,0.007457,0.000073
0.000500,-2.000000,1.000000,0.045951,0.047620,0.045839,0.001670,0.000112
0.000600,-2.000000,1.000000,0.043676,0.043614,0.043532,0.000062,0.000145
0.000700,-2.000000,1.000000,0.142482,0.142909,0.142255,0.000427,0.000227
0.000800,-2.000000,1.000000,0.285242,0.293720,0.284694,0.008478,0.000548
0.000900,-2.000000,1.000000,0.022901,0.022176,0.022775,0.000725,0.000126
0.001000,-2.000000,1.000000,0.075600,0.076166,0.075311,0.000566,0.000289
0.001100,-2.000000,1.000000,0.042319,0.042899,0.042079,0.000580,0.000240
0.001200,-2.000000,1.000000,0.163523,0.161090,0.163172,0.002433,0.000351
0.001300,-2.000000,1.000000,0.585199,0.602011,0.585036,0.016812,0.000162
0.001400,-2.000000,1.000000,0.034176,0.034296,0.033893,0.000120,0.000283
0.001500,-2.000000,1.000000,0.462434,0.484677,0.462100,0.022244,0.000334
0.001600,-2.000000,1.000000,0.108128,0.105361,0.107507,0.002767,0.000621
0.001700,-2.000000,1.000000,0.050245,0.050286,0.049808,0.000041,0.000437
0.001800,-2.000000,1.000000,0.027764,0.028685,0.027460,0.000921,0.000304
0.001900,-2.000000,1.000000,0.112208,0.108862,0.111518,0.003346,0.000690
0.002000,-2.000000,1.000000,0.027765,0.028156,0.027417,0.000391,0.000348
0.002100,-2.000000,1.000000,0.058492,0.058831,0.057902,0.000340,0.000590
0.002200,-2.000000,1.000000,0.711054,0.692977,0.712419,0.018077,0.001365
0.002300,-2.000000,1.000000,0.053638,0.050773,0.053000,0.002865,0.000638
0.002400,-2.000000,1.000000,0.048800,0.045446,0.048238,0.003354,0.000562
0.002500,-2.000000,1.000000,0.216401,0.219058,0.215130,0.002657,0.001271
0.002600,-2.000000,1.000000,0.052748,0.051859,0.051999,0.000889,0.000749
0.002700,-2.000000,1.000000,0.056506,0.056235,0.055848,0.000270,0.000657
0.002800,-2.000000,1.000000,0.015930,0.015162,0.015657,0.000769,0.000274
0.002900,-2.000000,1.000000,0.011462,0.011431,0.011185,0.000030,0.000277
0.003000,-2.000000,1.000000,0.011748,0.011291,0.011460,0.000457,0.000288
0.003100,-2.000000,1.000000,0.295204,0.286136,0.293459,0.009068,0.001745
0.003200,-2.000000,1.000000,0.034021,0.033590,0.033414,0.000431,0.000607
0.003300,-2.000000,1.000000,0.064605,0.063269,0.063669,0.001336,0.000936
0.003400,-2.000000,1.000000,0.050566,0.046789,0.049837,0.003777,0.000729
0.003500,-2.000000,1.000000,0.026501,0.024288,0.025926,0.002213,0.000576
0.003600,-2.000000,1.000000,0.024202,0.024626,0.023631,0.000424,0.000571
0.003700,-2.000000,1.000000,0.052294,0.053642,0.051379,0.001348,0.000915
0.003800,-2.000000,1.000000,0.083981,0.078060,0.082826,0.005922,0.001156
